Cygwin Easy 2007.03.21 Package Information
------------------------------------------

Package                 Version
libgnomeui2-doc         2.12.1-1
libgnutls11             1.0.25-2
libgpg-error            1.1-1
libGraphicsMagick-devel 1.0.6-1
libGraphicsMagick0      1.0.6-1
libguile12              1.6.7-4
libguile17              1.8.1-6
libiconv                1.11-1
libiconv2               1.11-1
libIDL                  0.5.17-2
libIDL2                 0.8.6-1
libintl                 0.10.38-3
libintl1                0.10.40-1
libintl2                0.12.1-3
libintl3                0.14.5-1
libintl8                0.15-1
libjbig1                1.5-3
libjbig2                1.6-1
libjpeg-devel           6b-12
libjpeg62               6b-12
libkpathsea3            2.0.2-15
libkpathsea4            3.0.0-3
libltdl3                1.5.23a-2
libMagick10             6.3.0.1-2
libncurses-devel        5.5-3
libncurses5             5.2-1
libncurses6             5.2-8
libncurses7             5.3-4
libncurses8             5.5-3
libneon25               0.25.5-1
libnetpbm-devel         10.33-1
libnetpbm10             10.33-1
libogg-devel            1.1.2-1
libogg0                 1.1.2-1
libOggFLAC++2           1.1.2-1
libOggFLAC3             1.1.2-1
libopencdk8             0.5.7-1
libopenldap2_2_7        2.2.26-2
libopenldap2_3_0        2.3.30-1
libpcre0                6.6-1
libplot2                2.4.1-1
libplotter2             2.4.1-1
libpng                  1.2.12-1
libpng12                1.2.12-1
libpng12-devel          1.2.12-1
libpopt0                1.6.4-4
libpq4                  8.0.7-1
libreadline4            4.1-2
libreadline5            4.3-5
libreadline6            5.2.1-6
libsasl2                2.1.19-3
libsmi                  0.4.2-1
libspeex1               1.1.10-1
libtasn1                0.2.15-1
libtiff-devel           3.8.2-3
libtiff4                3.6.0-5
libtiff5                3.8.2-3
libtool1.5              1.5.23a-2
libungif                4.1.4-1
libungif4               4.1.4-1
libusb-win32            0.1.12.0-1
libvorbis-devel         1.1.1-1
libvorbis0              1.1.1-1
libvorbisenc2           1.1.1-1
libvorbisfile3          1.1.1-1
libwmf                  0.2.8.4-1
libwnck-doc             2.12.3-1
libxdelta2              1.1.3-3
libxerces-c25           2.5.0-1
libXft                  2.1.6-1
libXft-devel            2.1.6-1
libXft1                 1.0.0-1
libXft2                 2.1.6-1
libxmi0                 2.4.1-1
libxml2                 2.6.26-1
libxml2-devel           2.6.26-1
libxml2-doc             2.6.26-1
libxslt                 1.1.17-1
libxslt-doc             1.1.17-1
lilypond                2.10.7-2
lilypond-doc            2.10.7-2
links                   0.99pre14-1
login                   1.9-7
lynx                    2.8.5-4
lyx                     1.4.4-2
m4                      1.4.8-1
make                    3.81-1
man                     1.6d-2
mc                      4.6.1-2
mined                   2000.13.2-1
mingw-runtime           3.11-1
minires                 1.01-1
minires-devel           1.01-1
mktemp                  1.5-4
mlcscope                14.1.8-2
monotone                0.33-1
mtd                     20050419-1
nano                    1.2.2-1
nasm                    0.98.39-1
ncurses                 5.5-3
nedit                   5.5-1
neon                    0.25.5-1
netpbm                  10.33-1
netpbm-doc              10.33-1
ocaml                   3.08.1-1
octave                  2.1.73-1
octave-doc              2.1.73-1
octave-forge            2006.03.17-1
octave-htmldoc          2.1.73-1
octave-info             2.1.73-1
octave-otags            2.1.73-1
opencdk                 0.5.7-1
openjade                1.3.3-1
OpenSP                  1.5.1-1
openssl                 0.9.8e-2
openssl-devel           0.9.8e-2
openssl097              0.9.7l-1
ORBit                   0.5.17-2
ORBit-devel             0.5.17-2
ORBit2                  2.14.0-1
ORBit2-doc              2.14.0-1
pango                   1.8.1-1
pango-devel             1.8.1-1
pango-doc               1.8.1-1
pango-runtime           1.8.1-1
patch                   2.5.8-9
patchutils              0.2.31-1
pcre                    6.6-1
pcre-devel              6.6-1
pcre-doc                6.6-1
perl                    5.8.7-5
perl-ExtUtils-Depends   0.205-1
perl-ExtUtils-PkgConfig 1.07-1
perl_manpages           5.8.7-5
pinfo                   0.6.8-1
pkg-config              0.21-1
pkgconfig               0.17.2-3
ploticus-doc            2.32-1
plotutils-devel         2.4.1-1
plotutils-doc           2.4.1-1
popt                    1.6.4-4
psmisc                  21.5-3
python                  2.5-1
qt3                     3.3.4-2
qt3-bin                 3.3.4-2
qt3-devel               3.3.4-2
qt3-doc                 3.3.4-2
quilt                   0.43-1
rcs                     5.7-3
readline                5.2.1-6
rpm                     4.1-2
rpm-build               4.1-1
rpm-doc                 4.1-1
ruby                    1.8.5-3
run                     1.1.10-1
sed                     4.1.5-2
speex-devel             1.1.10-1
splint                  3.1.1-1
subversion              1.4.2-1
subversion-apache2      1.4.2-1
subversion-devel        1.4.2-1
subversion-perl         1.4.2-1
subversion-python       1.4.2-1
subversion-ruby         1.4.2-1
SWI-Prolog              5.2.6-1
swig                    1.3.29-2
sysvinit                2.84-4
t1lib                   5.1.0-1
tar                     1.16.1-1
tcltk                   20060202-1
tcm                     2.20-1
tcp_wrappers            7.6-1
tcsh                    6.14.00-5
termcap                 20050421-1
terminfo                5.5_20061104-1
tetex                   3.0.0-3
tetex-base              3.0.0-3
tetex-bin               3.0.0-3
tetex-devel             3.0.0-3
tetex-doc               3.0.0-3
tetex-extra             3.0.0-3
tetex-tiny              3.0.0-3
texinfo                 4.8-4
TeXmacs                 1.0.6-1
tidy                    041206-1
tiff-doc                3.8.2-3
transfig                3.2.4-2
unzip                   5.52-2
util-linux              2.12r-2
uw-imap                 2002e-3
vim                     7.0.122-1
w32api                  3.8-1
w3m                     0.5.1-1
wget                    1.10.2-2
which                   1.7-1
wtf                     0.0.4-6
X-startup-scripts       1.0.11-1
Xaw3d                   1.5D-5
xdelta                  1.1.3-3
xdelta-devel            1.1.3-3
xemacs                  21.4.20-2
xemacs-emacs-common     21.4.20-2
xemacs-mule-sumo        2005-12-08-1
xemacs-sumo             2005-12-08-1
xemacs-tags             21.4.20-2
xerces-c                2.5.0-1
xerces-c-devel          2.5.0-1
xerces-c-doc            2.5.0-1
xmlto                   0.0.18-1
xorg-x11-base           6.8.99.901-1
xorg-x11-bin            6.8.99.901-1
xorg-x11-bin-dlls       6.8.99.901-1
xorg-x11-bin-lndir      6.8.99.901-1
xorg-x11-devel          6.8.99.901-1
xorg-x11-etc            6.8.99.901-1
xorg-x11-fenc           6.8.99.901-1
xorg-x11-fnts           6.8.99.901-1
xorg-x11-fscl           6.8.99.901-1
xorg-x11-libs-data      6.8.99.901-1
xorg-x11-xwin           6.8.99.901-1
xpdf                    3.01-2
xterm                   202-1
zip                     2.32-2
zlib                    1.2.3-2
